City,Location,URL
Goa,Goa Chitra Museum,"https://www.google.com/maps/place/Goa+Chitra+Museum/@15.2649043,73.9387615,17z/data=!4m8!3m7!1s0x3bbfb3f498cb93fb:0x6e62aa9905141aa8!8m2!3d15.2648991!4d73.9413364!9m1!1b1!16s%2Fm%2F0ch27hy?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Goa,Indian Naval Aviation Museum,"https://www.google.com/maps/place/Naval+Aviation+Museum/@15.3746546,73.8362014,17z/data=!4m8!3m7!1s0x3bbfc7fed5d76ea1:0x4ea4630affa5b9b1!8m2!3d15.3746494!4d73.8387763!9m1!1b1!16s%2Fg%2F11bbrgbb4c?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Goa,Goa State Museum,"https://www.google.com/maps/place/Goa+State+Museum/@15.5007598,73.8272931,17z/data=!4m8!3m7!1s0x3bbfc09b280ef60b:0x94fcb078281177c4!8m2!3d15.5007546!4d73.829868!9m1!1b1!16s%2Fm%2F07kgg5_?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Goa,Anjuna flea market,"https://www.google.com/maps/place/Anjuna+Flea+Market/@15.5720812,73.7398156,17z/data=!4m8!3m7!1s0x3bbfe912d4858f15:0xbbe5c0aaad4f57c9!8m2!3d15.572076!4d73.7423905!9m1!1b1!16s%2Fg%2F11rpzhq14k?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Goa,Immaculate Conception Church,"https://www.google.com/maps/place/Immaculate+Conception+Church/@15.4985711,73.8268276,17z/data=!4m8!3m7!1s0x3bbfc08f5a999df7:0xa398409825f4822e!8m2!3d15.4985659!4d73.8294025!9m1!1b1!16s%2Fm%2F05b2ywk?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Goa,Basilica of Bom Jesus,"https://www.google.com/maps/place/Basilica+of+Bom+Jesus/@15.500829,73.9088312,17z/data=!4m8!3m7!1s0x3bbfbef2b99b0289:0x1e8056689f15a7b8!8m2!3d15.5008238!4d73.9114061!9m1!1b1!16zL20vMDVuaHZm?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Goa,Church of St. Francis of Assisi,"https://www.google.com/maps/place/Church+of+St.+Francis+of+Assisi/@15.503127,73.9086349,17z/data=!4m8!3m7!1s0x3bbfbef33b63c2ef:0x4d80d5fbfc3d3947!8m2!3d15.5031218!4d73.9112098!9m1!1b1!16s%2Fm%2F07kbgn7?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Goa,Se Cathedral,"https://www.google.com/maps/place/Se+Cathedral/@15.5038129,73.909575,17z/data=!4m8!3m7!1s0x3bbfbef32db44613:0xc94c4740248a9cf0!8m2!3d15.5038077!4d73.9121499!9m1!1b1!16zL20vMGZ2MTky?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Goa,Shree Mangesh temple,"https://www.google.com/maps/place/Shree+Mangueshi+Temple/@15.4449103,73.9638076,17z/data=!4m8!3m7!1s0x3bbfbabc00000001:0xafed600f5cfebbf6!8m2!3d15.4449051!4d73.9663825!9m1!1b1!16zL20vMDhfZ2po?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
Goa,Mollem National Park & Bhagwan Mahavir Wildlife Sanctuary,"https://www.google.com/maps/place/Mollem+National+Park+%26+Bhagwan+Mahavir+Wildlife+Sanctuary/@15.3339067,74.2857787,17z/data=!4m8!3m7!1s0x3bbf069555555555:0x1add3d12c8903bb1!8m2!3d15.3339015!4d74.2883536!9m1!1b1!16s%2Fg%2F11ggghrkk9?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D"
