City,Location
Chandigarh,"Government Museum and Art Gallery , History Museum, Architecture Museum"
Chandigarh,Indian Air Force Heritage Museum
Chandigarh,International Dolls Museum
Chandigarh,Le Corbusier Centre
Chandigarh,Sector 17 Plaza
Chandigarh,Nexus Elante Mall
Chandigarh,VR Punjab
Chandigarh,DLF City Centre Mall
Chandigarh,Paras Downtown Square Mall
Chennai,Chennai International Airport
Chennai,Chennai Mofussil Bus Terminus (CMBT) Koyambedu
Chennai,Egmore Railway Station
Chennai,Chennai Central Railway Station
Chennai,Madhavaram Mofussil Bus Terminus
Chennai,Mahabalipuram Shore Temple
Chennai,Arulmigu Kanthasamy Temple Thiruporur
Chennai,ISKCON Chennai
Chennai,Arulmigu Sri Varadharaja Perumal Temple
Chennai,Arulmigu Thiruthani Murugan Temple
Chennai,Sri Kamakshi Amman Temple mangadu
Chennai,St. Thomas Mount
Chennai,Arulmigu Vadapalani Murugan Temple
Chennai,Kandhakottam Temple
Chennai,Walajah Big Mosque
Chennai,Arulmigu Sri Parthasarathy Perumal Temple Tiruvallikeni
Chennai,San Thome Basilica
Chennai,Kapaleeshwarar Temple
Chennai,Arulmigu Marundeeswarar Temple
Chennai,Shri Ashtalakshmi Temple
Chennai,Annai Velankanni Shrine
Chennai,Marina Beach
Chennai,Edward Elliot's Beach (Besant Nagar Beach)
Chennai,Thiruvalluvar Nagar Beach (Breezy Beach)
Chennai,Neelangarai Beach (Olive Beach)
Chennai,Kovalam Beach 
Chennai,The Madras Crocodile Bank Trust and Centre for Herpetology
Chennai,Kovalam Creek (The Great Salt Lake)
Chennai,Arignar Anna Zoological Park
Chennai,Vedanthangal Bird Sanctuary
Chennai,Snake Park (Guindy National Park)
Chennai,Puzhal Lake (Red Hills Lake)
Chennai,Chembarambakkam Lake
Chennai,Adyar River
Chennai,Cooum River
Chennai,Adyar Eco-Park (Tholkappia Poonga)
Chennai,Semmozhi Poonga
Chennai,Anna Nagar Tower Park
Chennai,Chennai Rail Museum
Chennai,Dakshina Chitra Heritage Museum
Chennai,Cholamandal Artists Village
Chennai,Kalakshetra Foundation
Chennai,B.M. Birla Planetarium
Chennai,Vivekananda House (Ice House)
Chennai,Fort St.George Museum
Chennai,Government Museum Chennai
Chennai,Lalit Kala Academy
Chennai,VGP Universal Kingdom
Chennai,MGM Dizzee World
Chennai,Queensland Amusement Park
Delhi,Airport Terminal 1 (Indira Gandhi International)
Delhi,Airport Terminal 3 (Indira Gandhi International)
Delhi,Airport Terminal 2 (Indira Gandhi International)
Delhi,Hazrat Nizamuddin
Delhi,Sarai Kale Khan ISBT
Delhi,Kashmiri Gate ISBT (Maharana Pratap)
Delhi,New Delhi Railway Station
Delhi,Old Delhi Railway Station
Delhi,Delhi Sarai Rohilla
Delhi,Delhi Cantt Railway Station
Delhi,Anand Vihar Railway Station
Delhi,Kaushambi bus stand (ISBT Anand Vihar)
Delhi,Dhaula Kuan Bus Stand
