place_name,place_url,reviews_count,scraped_on
Cave temple Shri Gavi Gangadhareshwara Swamy Devasthana,"https://www.google.com/maps/place/Shri+Gavi+Gangadhareshwara+Swamy+Temple/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae15f5e424a887:0xb29e7ece1561d74f!8m2!3d12.9481464!4d77.5629406!9m1!1b1!16zL20vMGd6c2h0?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:33:41
Ragigudda Shri Prasanna Anjaneyaswami Temple,"https://www.google.com/maps/place/Ragigudda+Sri+Prasannanjaneya+Swamy+Temple/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae150ee2e30207:0x473dd574e09fb17a!8m2!3d12.9142864!4d77.593172!9m1!1b1!16s%2Fm%2F02x6z71?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:34:22
Shri Dharmarāya Swamy Temple,"https://www.google.com/maps/place/Shri+Dharmaraya+Swamy+Temple/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae15e03ec16bdb:0xcfd22772d5842033!8m2!3d12.9654812!4d77.5834585!9m1!1b1!16s%2Fm%2F05p668d?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:35:05
Shree Parshwa Susheel Dhaam Shwetamber Jain Temple,"https://www.google.com/maps/place/Shree+Parshwa+Susheel+Dhaam+Shwetamber+Jain+Temple+-+white+marble+temple/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae6e0652180c55:0x63cafd5c34c7e3c7!8m2!3d12.7892471!4d77.7357787!9m1!1b1!16s%2Fg%2F1tgxrzv_?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:35:45
Sankey Tank,"https://www.google.com/maps/place/Sankey+Tank/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae1632951450cd:0x6bf89f0c5ee10a26!8m2!3d13.0092983!4d77.5741212!9m1!1b1!16zL20vMDQ3NTN3?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:36:27
Ulsoor Lake,"https://www.google.com/maps/place/Ulsoor+Lake/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae16902ac7025b:0x5cda8d215b70772c!8m2!3d12.9832468!4d77.6199608!9m1!1b1!16s%2Fg%2F11dxb363mv?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:37:11
BTM Madiwala lake,"https://www.google.com/maps/place/Madiwala+Lake/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae14e5d3283751:0xf7e374a99ca36561!8m2!3d12.9046136!4d77.614948!9m1!1b1!16s%2Fg%2F11dxbd5rbb?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:37:55
Jaya Prakash Narayana Biodiversity Park,"https://www.google.com/maps/place/Jaya+Prakash+Narayana+Park/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae3d5da75cc2fb:0x87f0d4c69917447b!8m2!3d13.0343719!4d77.55081!9m1!1b1!16s%2Fg%2F11b75ds_k8?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:38:33
Bannerughatta Biological Park,"https://www.google.com/maps/place/Bannerughatta+Biological+Park/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae69e00b196db1:0x4f6f2e78ffa13a5f!8m2!3d12.7985882!4d77.567835!9m1!1b1!16zL20vMDQxeGJu?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:39:16
Muthyala Maduvu Falls (Pearl Valley),"https://www.google.com/maps/place/Muthyala+Maduvu+Water+fall+trek/@28.6325348,77.4357627,15z/data=!4m8!3m7!1s0x3bae65ef8e150537:0x2c8ef9e07896ecc6!8m2!3d12.6865921!4d77.6657167!9m1!1b1!16zL20vMDhoM3l2?entry=ttu&g_ep=EgoyMDI1MDQyOS4wIKXMDSoASAFQAw%3D%3D",8,2025-05-02 20:40:14
