MongoDB_Location,AppSheet_Location
Airport Terminal 2 (Chhatrapati Shivaji Maharaj International),Airport Terminal 2 (Chhatrapati Shivaji Maharaj International)
Airport Terminal 1 (Chhatrapati Shivaji Maharaj International),Airport Terminal 1 (Chhatrapati Shivaji Maharaj International)
Bandra Terminus,Bandra Terminus
Lokmanya Tilak Terminus (LTT),Lokmanya Tilak Terminus (LTT)
Dadar Railway Station,Dadar Railway Station
Mumbai Central Railway Station,Mumbai Central Railway Station
Chhatrapati Shivaji Maharaj Terminus,Chhatrapati Shivaji Maharaj Terminus
Kurla Nehru Nagar ST ,Kurla Nehru Nagar ST
Mumbai Central Bus Depot [MSRTC],Mumbai Central Bus Depot [MSRTC]
MSRTC Shivneri Bus stand Dadar,MSRTC Shivneri Bus stand Dadar
MSRTC Bus stand Thane - Vandana,MSRTC Bus stand Thane - Vandana
Borivali Nancy Colony Bus Stand,Borivali Nancy Colony Bus Stand
Dukaan Borivali East,Dukaan Borivali East
Elephanta Caves,Elephanta Caves
Kanheri Caves,Kanheri Caves
Vasai Fort,Vasai Fort
Jogeshwari Caves,Jogeshwari Caves
Madh Fort,Madh Fort
Bandra Fort,Bandra Fort
Flora Fountain,Flora Fountain
Gateway Of India,Gateway Of India
Shivadi fort and Flamingo Point,Shivadi fort and Flamingo Point
Bandra Worli Sea Link Bridge,Bandra Worli Sea Link Bridge
Marine Drive,Marine Drive
Global Vipassana Pagoda,Global Vipassana Pagoda
ISKCON Mandir - Juhu,ISKCON Mandir - Juhu
Gaondevi Temple & Gilbert Hill,Gaondevi Temple & Gilbert Hill
Basilica of Our Lady of the Mount,Basilica of Our Lady of the Mount
Shree Siddhivinayak Temple,Shree Siddhivinayak Temple
BAPS Shri Swaminarayan Mandir,BAPS Shri Swaminarayan Mandir
Haji Ali Dargah,Haji Ali Dargah
Shri Mahalakshmi Temple,Shri Mahalakshmi Temple
Shree Babulnath Mandir,Shree Babulnath Mandir
ISKCON Chowpatty (Sri Sri Radha Gopinath Mandir),ISKCON Chowpatty (Sri Sri Radha Gopinath Mandir)
Juma Masjid,Juma Masjid
Shri Mumbadevi Temple,Shri Mumbadevi Temple
St. Thomas’ Cathedral,St. Thomas' Cathedral
Zoo (Veermata Jijabai Bhosale Botanical Udyan),Zoo (Veermata Jijabai Bhosale Botanical Udyan)
Gorai Beach,Gorai Beach
Aksa Beach,Aksa Beach
Versova Beach,Versova Beach
Juhu Beach,Juhu Beach
Girgaon Chowpatty,Girgaon Chowpatty
Powai Lake,Powai Lake
Chhota Kashmir Park.,Chhota Kashmir Park.
Vihar Lake,Vihar Lake
Tulsi Lake,Tulsi Lake
Sanjay Gandhi National Park,Sanjay Gandhi National Park
Bandstand Promenade,Bandstand Promenade
Oval Maidan,Oval Maidan
Hanging Gardens,Hanging Gardens
Alibaug Beach,Alibaug Beach
Karnala Bird Sanctuary,Karnala Bird Sanctuary
Matheran Hill Station,Matheran Hill Station
Lonavala and Khandala,Lonavala and Khandala
Film city Dadasaheb Phalke,Film city Dadasaheb Phalke
RBI Monetary Museum,RBI Monetary Museum
"The Asiatic Society, Mumbai","The Asiatic Society, Mumbai"
Jehangir Art Gallery,Jehangir Art Gallery
Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya
Nehru planetarium,"Nehru planetarium, Mumbai"
Nehru Science Centre,Nehru Science Centre
Mani Bhavan Gandhi Sangrahalaya,Mani Bhavan Gandhi Sangrahalaya
Essel World,Essel World
Imagica,Imagica
Picture palace bus station,Picture palace bus station
Library Bus stand ,Library Bus stand
Dehradun Railway Station,Dehradun Railway Station
Kempty Fall Taxi Stand,Kempty Fall Taxi Stand
Kempty Falls,Kempty Falls
Lal Tibba Scenic Point,Lal Tibba Scenic Point
Gun Hill,Gun Hill
Mall road,Mall road
Company Garden,Company Garden
Mussorie Lake,Mussorie Lake
Jharipani Waterfall,Jharipani Waterfall
Cloud’s End,Cloud's End
George Everest House,George Everest House
Happy Valley Tibetan Buddhist Temple,Happy Valley Tibetan Buddhist Temple
Bhatta falls,Bhatta falls
"Nainital Bus Stand, Tallital","Nainital Bus Stand, Tallital"
Kathgodam Railway Station,Kathgodam Railway Station
Nainital Lake,Nainital Lake
Snow View point,Snow View point
G B Pant High Altitude Zoo,G B Pant High Altitude Zoo
Eco Cave Park,Eco Cave Park
Tiffin Top,Tiffin Top
Naina Peak East,Naina Peak East
Himalayan Botanical Garden,Himalayan Botanical Garden
Himalaya Darshan viewpoint,Himalaya Darshan viewpoint
Mall Road,Mall Road
Raj Bhawan Governor House,Raj Bhawan Governor House
Jim Corbett Gurney House,Jim Corbett Gurney House
Woodland water fall nainital,Woodland water fall nainital
"Sankat Mochan Mandir,Hanuman Garhi","Sankat Mochan Mandir, Hanuman Garhi"
"Shree Maa Naina Devi Temple, Nainital","Shree Maa Naina Devi Temple, Nainital"
Kainchi Dham - Shri Neeb Karori Baba Ashram,Kainchi Dham - Shri Neeb Karori Baba Ashram
St John in the Wilderness Church,St John in the Wilderness Church
"Golu Devta Temple (Bell Temple), Ghorakhal","Golu Devta Temple (Bell Temple), Ghorakhal"
Sattal Lake,Sattal Lake
Bhim Taal Lake,Bhim Taal Lake
Naukuchia Taal,Naukuchia Taal
Sariyatal,Sariyatal
Khurpatal Lake,Khurpatal Lake
Pune International Airport,Pune International Airport
Pune Junction,Pune Junction
Swargate Bus Stand,Swargate Bus Stand
MSRTC ST Pune Station Bus Stand,MSRTC ST Pune Station Bus Stand
Hadapsar Railway Station,Hadapsar Railway Station
Khadki Railway Station,Khadki Railway Station
Vallabhnagar State Transport Bus Stand,Vallabhnagar State Transport Bus Stand
Chinchwad Railway Station Queens Town Side,Chinchwad Railway Station Queens Town Side
Chatrapati Shivaji Maharaj Nagar,Chatrapati Shivaji Maharaj Nagar
Sinhagad Fort,Sinhagad Fort
Rajgad Fort,Rajgad Fort
Torna Fort,Torna Fort
Purandar Fort,Purandar Fort
Tikona Fort,Tikona Fort
Lohgad Fort,Lohgad Fort
Shaniwar Wada,Shaniwar Wada
Laal Mahal,Laal Mahal
Aga Khan Palace,Aga Khan Palace
Karla Caves,Karla Caves
Raja Dinkar Kelkar Museum,Raja Dinkar Kelkar Museum
Blades of Glory Cricket Museum,Blades of Glory Cricket Museum
Pimpri Chinchwad Science Park,Pimpri Chinchwad Science Park
Mahatma Phule Museum,Mahatma Phule Museum
Dr Babasaheb Ambedkar Museum & Memorial,Dr Babasaheb Ambedkar Museum & Memorial
Late Sanjay Mahadeo Nimhan Gram Sanskruti Udyan,Late Sanjay Mahadeo Nimhan Gram Sanskruti Udyan
Shreemant Dagdusheth Halwai Ganpati Mandir,Shreemant Dagdusheth Halwai Ganpati Mandir
Parvati Hill & Hill top Temples,Parvati Hill & Hill top Temples
Shri Chatushrungi Devi Temple,Shri Chatushrungi Devi Temple
Shri Siddhivinayak Ganesh Mandir Sarasbaug,Shri Siddhivinayak Ganesh Mandir Sarasbaug
Mahadji Shinde Chhatri,Mahadji Shinde Chhatri
ISKCON NVCC Pune,ISKCON NVCC Pune
"Shri Khandoba Mandir, Jejuri","Shri Khandoba Mandir, Jejuri"
Bhuleshwar Temple,Bhuleshwar Temple
BAPS Shri Swaminarayan Mandir Pune,BAPS Shri Swaminarayan Mandir Pune
"Katraj Jain Temple, Aagam Mandir","Katraj Jain Temple, Aagam Mandir"
St. Patrick’s Cathedral,St. Patrick's Cathedral
Prati Balaji Mandir,Prati Balaji Mandir
Bhimashankar Jyotirlinga,Bhimashankar Jyotirlinga
"Shree Sant Dnyaneshwar Maharaj Samadhi Mandir, Alandi",Shree Sant Dnyaneshwar Maharaj Samadhi Mandir
"Shri Prati Shirdi Sai Baba Temple, Shirgaon","Shri Prati Shirdi Sai Baba Temple, Shirgaon Ramdara temple"
Shree Chintamani Vinayaka Temple Theur,Shree Chintamani Vinayaka Temple Theur
Pashan Lake,Pashan Lake
Osho Garden,Osho Garden
Pune-Okayama Friendship Garden,Pune-Okayama Friendship Garden
Rajiv Gandhi Zoological Park,Rajiv Gandhi Zoological Park
Empress Botanical Garden,Empress Botanical Garden
Khadakwasla Dam,Khadakwasla Dam
Taljai Hills,Taljai Hills
Vetal Hill,Vetal Hill
Mula Mutha River,Mula Mutha River
Lavasa,Lavasa
Chhatrapati Sambhaji Maharaj garden,Chhatrapati Sambhaji Maharaj garden
Rishikesh bus station,Rishikesh bus station
Jolly Grant Airport - Dehradun,Jolly Grant Airport - Dehradun
Railway station rishikesh,Railway station rishikesh
Ram jhula,Ram jhula
Lakshman Jhula,Lakshman Jhula
Janki Jhula,Janki Jhula
Ganga Beach,Ganga Beach
Goa Beach Rishikesh,Goa Beach Rishikesh
Neer Waterfall,Neer Waterfall
The Secret Waterfall,The Secret Waterfall
Patna Garud Chatti Waterfall,Patna Garud Chatti Waterfall
Shivpuri (River Rafting),Shivpuri (River Rafting)
Rajaji National Park,Rajaji National Park
Marine Drive( Aastha Path ),Marine Drive (Aastha Path)
The Beatles Ashram,The Beatles Ashram
(Tera Manzil Temple) Trayambakeshwar Temple,(Tera Manzil Temple) Trayambakeshwar Temple
Parmarth Niketan Ashram,Parmarth Niketan Ashram
Shatrughana Temple Ghat aarti,Shatrughana Temple Ghat aarti
Triveni Ghat Rishikesh,Triveni Ghat Rishikesh
Gurdwara Sri Hemkunt Sahib,Gurdwara Sri Hemkunt Sahib
Kunjapuri Mata Ancient Temple & Sunrise Trek,Kunjapuri Mata Ancient Temple & Sunrise Trek
Vashishtha Gufa Temple,Vashishtha Gufa Temple
Shree Neelkanth Mahadev Temple,Shree Neelkanth Mahadev Temple
Shimla Airport (Jubbarhatti Airport),Shimla Airport (Jubbarhatti Airport)
ISBT Shimla ( New Bus stand),ISBT Shimla ( New Bus stand)
Shimla Railway station,Shimla Railway station
Old bus stand shimla,Old bus stand shimla
Ridge Mall road,Ridge Mall road
Lakkar bazar,Lakkar bazar
Tibetan Refugee Market,Tibetan Refugee Market
Christ Church,Christ Church
"Shri Hanuman Temple, Jakhoo","Shri Hanuman Temple, Jakhoo"
Dorje Drak Monastery,Dorje Drak Monastery
St. Michael's Catholic Cathedral,St. Michael's Catholic Cathedral
Kali Bari Temple,Kali Bari Temple
Tara Devi Temple,Tara Devi Temple
Baba Bhalku Rail Museum,Baba Bhalku Rail Museum
Gaiety Heritage Cultural Complex,Gaiety Heritage Cultural Complex
Bantony Castle,Bantony Castle
Army Heritage Museum & Annadale Ground,Army Heritage Museum & Annadale Ground
Himachal State Museum,Himachal State Museum
Viceregal Lodge,Viceregal Lodge
Chadwick Falls,Chadwick Falls
Himalayan Bird Park,Himalayan Bird Park
Kufri Horse Ride,Kufri Horse Ride
Himalayan Nature Park Kufri,Himalayan Nature Park Kufri
"Apple garden Naldehra, RHRTS Mashobra","Apple garden Naldehra, RHRTS Mashobra"
Carignano Nature Park,Carignano Nature Park
Cycling in Wildlife Sanctuary,Cycling in Wildlife Sanctuary
Water Rafting in Tattapani,Water Rafting in Tattapani
Ice Skating Ring,Ice Skating Ring
Naldehra Golf Course,Naldehra Golf Course
Nagsons Amusement Park,Nagsons Amusement Park
Kufri Fun World,Kufri Fun World
Adventure Resorts,Adventure Resorts
TRC Bus Stand Srinagar,TRC Bus Stand Srinagar
Srinagar railway station,Srinagar railway station
(Srinagar Airport) Sheikh ul-Alam International Airport ,(Srinagar Airport) Sheikh ul-Alam International Airport
Parimpora Bus Stand,Parimpora Bus Stand
Dal Lake,Dal Lake
Nigeen Lake,Nigeen Lake
Anchar Lake,Anchar Lake
Jhelum River,Jhelum River
Shalimar Bagh Mughal Garden,Shalimar Bagh Mughal Garden
Tulip Garden Indira Gandhi Memorial ,Tulip Garden Indira Gandhi Memorial
Dachigam National Park,Dachigam National Park
Nishat Garden,Nishat Garden
Cheshma Shahi Garden,Cheshma Shahi Garden
Botanical Garden Jawaharlal Nehru Memorial,Botanical Garden Jawaharlal Nehru Memorial
Badam Wari Park,Badam Wari Park
Gulmarg Gondola,Gulmarg Gondola
Char Chinar in Dal lake,Char Chinar in Dal lake
Hokersar Wetland,Hokersar Wetland
Harwan Garden,Harwan Garden
Doodhpathri (Meadow valley),Doodhpathri (Meadow valley)
Pari Mahal,Pari Mahal
Hari Parbat Fort,Hari Parbat Fort
Sri Shankaracharya Temple,Sri Shankaracharya Temple
Gurudwara Chati Patshahi,Gurudwara Chati Patshahi
Sri Kheer Bhawani Durga Temple,Sri Kheer Bhawani Durga Temple
Dargah Hazratbal Shrine,Dargah Hazratbal Shrine
Jamia Masjid Srinagar,Jamia Masjid Srinagar
Pather Masjid,Pather Masjid
Lal Chowk,Lal Chowk
Polo view market,Polo view market
Kashmir Government Arts Emporium,Kashmir Government Arts Emporium
"Maharana Pratap Airport, Udaipur","Maharana Pratap Airport, Udaipur"
Udaipur City Railway Station,Udaipur City Railway Station
Ranapratapnagar railway station,Ranapratapnagar railway station
Udaipole Bus Stand,Udaipole Bus Stand
Chetak Bus Stand,Chetak Bus Stand
City Palace,City Palace
Jagmandir Island Palace,Jagmandir Island Palace
"Taj Lake Palace, Udaipur","Taj Lake Palace, Udaipur"
Bagore Ki Haveli,Bagore Ki Haveli
Sajjangarh Monsoon Palace,Sajjangarh Monsoon Palace
Ahar Royal Cenotaphs,Ahar Royal Cenotaphs
Jagdish Temple,Jagdish Temple
Eklingji Temple,Eklingji Temple
"Karni Mata Temple, Udaipur","Karni Mata Temple, Udaipur"
Neemach Mata Mandir,Neemach Mata Mandir
Bohra Ganeshji Temple,Bohra Ganeshji Temple
Shilpgram,Shilpgram
Vintage Car Museum,Vintage Car Museum
Ahar Museum,Ahar Museum
Haldighati Maharana Pratap Museum,Haldighati Maharana Pratap Museum
Pratap Gaurav Kendra Udaipur,Pratap Gaurav Kendra Udaipur
Saheliyon ki bari,Saheliyon ki bari
Lake Pichola,Lake Pichola
Fateh Sagar Lake,Fateh Sagar Lake
Badi Lake ,Badi Lake
Gulab Bagh,Gulab Bagh
Rajiv Gandhi Garden,Rajiv Gandhi Garden
Sajjan Garh Biological Park,Sajjan Garh Biological Park
Varanasi Airport (Lal Bahadur Shastri International),Varanasi Airport (Lal Bahadur Shastri International)
Varanasi Cantt Bus Stand,Varanasi Cantt Bus Stand
Varanasi Junction railway station (BSB),Varanasi Junction railway station (BSB)
Varanasi City Railway Station (BCY),Varanasi City Railway Station (BCY)
Deen Dayal Railway Station,Deen Dayal Railway Station
Manduadih Banaras Railway Station (BSBS),Manduadih Banaras Railway Station (BSBS)
Lakhaniya Hills & Waterfall,Lakhaniya Hills & Waterfall
Rajdari and Devdari Waterfalls,Rajdari and Devdari Waterfalls
Shri Kashi Vishwanath Temple,Shri Kashi Vishwanath Temple
Dashashwamedh Ghat,Dashashwamedh Ghat
Manikarnika Mahashamshan Ghat,Manikarnika Mahashamshan Ghat
Assi Ghat,Assi Ghat
Shri Satyanarayan Tulsi Manas Mandir,Shri Satyanarayan Tulsi Manas Mandir
ISKCON Temple Varanasi,ISKCON Temple Varanasi
Kaal Bhairav Temple,Kaal Bhairav Temple
Swarved Mahamandir Dham,Swarved Mahamandir Dham
Namo Ghat,Namo Ghat
Alamgir Masjid,Alamgir Masjid
Pujari Maa Vindhyavasini Temple,Pujari Maa Vindhyavasini Temple
"Shri Kashi Vishwanath Temple, BHU Campus","Shri Kashi Vishwanath Temple, BHU Campus"
Sankat Mochan Hanuman Mandir,Sankat Mochan Hanuman Mandir
Sant Kabir Math Lahartara,Sant Kabir Math Lahartara
Ramnagar Fort,Ramnagar Fort
Archaeological Buddhist Remains of Sarnath,Archaeological Buddhist Remains of Sarnath
Chunar Fort,Chunar Fort
Chet Singh Ghat,Chet Singh Ghat
Jantar Mantar & Man Singh Observatory,Jantar Mantar & Man Singh Observatory
Bharat Kala Bhavan Museum,Bharat Kala Bhavan Museum
RUDRAKSH - International Convention Centre,RUDRAKSH - International Convention Centre
